ROWID,TRUTH,TRAININGSET
1813.txt,4,1
1815.txt,4,1
1816.txt,4,1
1818.txt,4,1
1819.txt,4,1
1820.txt,-2,1
1822.txt,-1,1
1823.txt,4,1
1826.txt,-2,1
1827.txt,-2,1
1828.txt,4,1
1829.txt,1,1
1834.txt,4,1
1836.txt,4,1
1839.txt,4,1
1842.txt,4,1
1844.txt,4,1
1845.txt,-2,1
1846.txt,4,1
1847.txt,4,1
1848.txt,3,1
1849.txt,4,1
1851.txt,-2,1
1853.txt,4,1
1855.txt,4,1
1858.txt,-2,1
1860.txt,4,1
1865.txt,4,1
1866.txt,-2,1
1867.txt,-2,1
1868.txt,-2,1
1869.txt,4,1
1875.txt,4,1
1876.txt,4,1
1878.txt,-2,1
1880.txt,4,1
1881.txt,4,1
1882.txt,4,1
1884.txt,1,1
1887.txt,4,1
1890.txt,4,1
1891.txt,-2,1
1896.txt,4,1
1898.txt,4,1
1899.txt,0,1
1900.txt,4,1
1901.txt,-1,1
1902.txt,4,1
1903.txt,4,1
1905.txt,3,1
1906.txt,4,1
1907.txt,4,1
1908.txt,4,1
1910.txt,4,1
1913.txt,4,1
1914.txt,4,1
1917.txt,4,1
1918.txt,-2,1
1922.txt,4,1
1923.txt,4,1
1924.txt,4,1
1925.txt,4,1
1927.txt,-2,1
1930.txt,4,1
1933.txt,4,1
1937.txt,-1,1
1938.txt,2,1
1939.txt,4,1
1941.txt,4,1
1943.txt,4,1
1945.txt,4,1
1946.txt,-2,1
1947.txt,3,1
1949.txt,4,1
1950.txt,4,1
1951.txt,-2,1
1955.txt,4,1
1956.txt,4,1
1957.txt,-1,1
1958.txt,-2,1
1959.txt,-1,1
1960.txt,-1,1
1961.txt,-1,1
1963.txt,-2,1
1965.txt,3,1
1969.txt,4,1
1972.txt,-2,1
1974.txt,4,1
1977.txt,-2,1
1979.txt,2,1
1980.txt,4,1
1981.txt,-2,1
1983.txt,1,1
1989.txt,-2,1
1990.txt,4,1
1991.txt,3,1
1995.txt,4,1
1996.txt,4,1
1998.txt,4,1
2000.txt,-2,1
2002.txt,4,1
2005.txt,4,1
2008.txt,4,1
2010.txt,4,1
2011.txt,3,1
2013.txt,4,1
2014.txt,-2,1
2018.txt,-1,1
2019.txt,4,1
2020.txt,4,1
2021.txt,4,1
2022.txt,4,1
2023.txt,4,1
2025.txt,4,1
2026.txt,2,1
2029.txt,4,1
2030.txt,4,1
2033.txt,4,1
2035.txt,4,1
2036.txt,4,1
2043.txt,4,1
2044.txt,4,1
2047.txt,4,1
2049.txt,4,1
2050.txt,-2,1
2051.txt,4,1
2052.txt,4,1
2054.txt,2,1
2055.txt,4,1
2056.txt,-2,1
2060.txt,4,1
2063.txt,4,1
2066.txt,4,1
2069.txt,4,1
2070.txt,4,1
2072.txt,2,1
2075.txt,-2,1
2076.txt,-2,1
2081.txt,4,1
2082.txt,-1,1
2088.txt,2,1
2092.txt,-2,1
2093.txt,-2,1
2094.txt,4,1
2095.txt,-2,1
2096.txt,4,1
2097.txt,4,1
2101.txt,-2,1
2102.txt,4,1
2103.txt,4,1
2104.txt,4,1
2105.txt,3,1
2106.txt,4,1
2109.txt,4,1
2112.txt,-2,1
2113.txt,-2,1
2115.txt,4,1
2117.txt,4,1
2119.txt,3,1
2122.txt,-1,1
2123.txt,4,1
2124.txt,-1,1
2126.txt,4,1
2127.txt,4,1
2128.txt,4,1
2129.txt,4,1
2130.txt,-2,1
2131.txt,3,1
2132.txt,-1,1
2133.txt,4,1
2134.txt,4,1
2135.txt,-2,1
2138.txt,4,1
2139.txt,-2,1
2142.txt,4,1
2144.txt,-2,1
2145.txt,-1,1
2150.txt,4,1
2152.txt,3,1
2153.txt,4,1
2154.txt,4,1
2155.txt,2,1
2156.txt,-2,1
2158.txt,-2,1
2160.txt,4,1
2162.txt,4,1
2164.txt,2,1
2166.txt,3,1
2168.txt,-2,1
2173.txt,4,1
2175.txt,4,1
2176.txt,4,1
2177.txt,4,1
2179.txt,4,1
2183.txt,4,1
2188.txt,-2,1
2191.txt,4,1
2192.txt,4,1
2196.txt,4,1
2197.txt,4,1
2198.txt,4,1
2199.txt,4,1
2200.txt,4,1
2201.txt,-2,1
2203.txt,4,1
2204.txt,4,1
2208.txt,4,1
2209.txt,-2,1
2211.txt,4,1
2212.txt,4,1
2214.txt,4,1
2215.txt,-2,1
2217.txt,4,1
2218.txt,4,1
2220.txt,4,1
2221.txt,-2,1
2222.txt,4,1
2227.txt,-2,1
2229.txt,-2,1
2231.txt,4,1
2232.txt,4,1
2233.txt,4,1
2235.txt,3,1
2237.txt,4,1
2239.txt,4,1
2245.txt,4,1
2248.txt,4,1
2250.txt,4,0
2252.txt,-2,0
2253.txt,-1,0
2255.txt,-1,0
2256.txt,2,0
2259.txt,-2,0
2262.txt,-2,0
2263.txt,4,0
2265.txt,-1,0
2268.txt,4,0
2269.txt,4,0
2270.txt,4,0
2275.txt,4,0
2279.txt,4,0
2282.txt,4,0
2285.txt,4,0
2286.txt,4,0
2287.txt,-2,0
2288.txt,4,0
2289.txt,4,0
2293.txt,-2,0
2294.txt,4,0
2295.txt,4,0
2296.txt,4,0
2297.txt,4,0
2299.txt,-1,0
2300.txt,4,0
2301.txt,4,0
2303.txt,4,0
2306.txt,4,0
2307.txt,4,0
2308.txt,4,0
2310.txt,4,0
2312.txt,-2,0
2314.txt,4,0
2316.txt,4,0
2319.txt,4,0
2323.txt,-1,0
2324.txt,4,0
2326.txt,-1,0
2329.txt,4,0
2330.txt,4,0
2333.txt,3,0
2335.txt,4,0
2336.txt,4,0
2337.txt,4,0
2339.txt,4,0
2340.txt,-2,0
2341.txt,-2,0
2342.txt,4,0
2343.txt,-2,0
2347.txt,4,0
2348.txt,4,0
2350.txt,4,0
2351.txt,4,0
2352.txt,4,0
2353.txt,4,0
2355.txt,4,0
2357.txt,4,0
2360.txt,-2,0
2362.txt,-2,0
2363.txt,-2,0
2365.txt,4,0
2366.txt,4,0
2370.txt,-2,0
2371.txt,1,0
2372.txt,4,0
2376.txt,4,0
2378.txt,-2,0
2379.txt,4,0
2381.txt,-2,0
2384.txt,2,0
2388.txt,4,0
2389.txt,4,0
2390.txt,4,0
2394.txt,-1,0
2395.txt,-1,0
2396.txt,4,0
2399.txt,4,0
2401.txt,-2,0
2403.txt,4,0
2404.txt,2,0
2406.txt,4,0
2407.txt,4,0
2409.txt,4,0
2410.txt,-2,0
2411.txt,4,0
2413.txt,4,0
2416.txt,-1,0
2420.txt,-1,0
2422.txt,-2,0
2424.txt,4,0
2425.txt,4,0
2426.txt,4,0
2427.txt,4,0
2428.txt,4,0
2429.txt,4,0
2430.txt,4,0
2432.txt,4,0
2433.txt,4,0
2434.txt,4,0
2436.txt,4,0
2439.txt,4,0
2440.txt,-1,0
2441.txt,1,0
2446.txt,4,0
2450.txt,4,0
2451.txt,4,0
2452.txt,4,0
2453.txt,4,0
2454.txt,-2,0
2457.txt,4,0
2458.txt,4,0
2459.txt,4,0
2465.txt,4,0
2467.txt,4,0
2468.txt,-1,0
2469.txt,-2,0
2470.txt,4,0
2472.txt,-2,0
2473.txt,4,0
2474.txt,4,0
2476.txt,4,0
2477.txt,-2,0
2480.txt,4,0
2483.txt,4,0
2488.txt,4,0
2494.txt,-2,0
2498.txt,4,0
2501.txt,1,0
2502.txt,-1,0
2505.txt,-2,0
2506.txt,4,0
2508.txt,-2,0
2510.txt,0,0
2514.txt,4,0
2519.txt,4,0
2520.txt,4,0
2522.txt,3,0
2524.txt,4,0
2526.txt,4,0
2536.txt,4,0
2537.txt,4,0
2540.txt,4,0
2544.txt,4,0
2545.txt,4,0
2546.txt,4,0
2551.txt,4,0
2553.txt,4,0
2555.txt,4,0
2556.txt,2,0
2558.txt,4,0
2559.txt,3,0
2561.txt,4,0
2563.txt,-1,0
2564.txt,4,0
2565.txt,4,0
2570.txt,4,0
2571.txt,4,0
2572.txt,2,0
2573.txt,4,0
2574.txt,4,0
2575.txt,4,0
2576.txt,-1,0
2577.txt,1,0
2578.txt,4,0
2579.txt,4,0
2584.txt,4,0
2587.txt,4,0
2589.txt,4,0
2590.txt,1,0
2592.txt,4,0
2594.txt,4,0
2595.txt,4,0
2596.txt,4,0
2600.txt,4,0
2602.txt,4,0
2606.txt,-2,0
2607.txt,4,0
2608.txt,4,0
2612.txt,4,0
2614.txt,-2,0
2615.txt,4,0
2616.txt,-2,0
2619.txt,4,0
2620.txt,-2,0
2622.txt,4,0
2624.txt,4,0
2625.txt,4,0
2627.txt,4,0
2636.txt,-1,0
2639.txt,2,0
2641.txt,3,0
2645.txt,4,0
2646.txt,4,0
2647.txt,-2,0
2652.txt,-2,0
2653.txt,4,0
2654.txt,4,0
2655.txt,4,0
2656.txt,-1,0
2660.txt,2,0
2662.txt,4,0
2663.txt,4,0
2665.txt,-2,0
2668.txt,4,0
2670.txt,4,0
2671.txt,4,0
2672.txt,4,0
2673.txt,4,0
2674.txt,-1,0
2675.txt,-1,0
2676.txt,4,0
2678.txt,4,0
2679.txt,-2,0
2681.txt,4,0
2682.txt,4,0
2685.txt,4,0
2686.txt,4,0
2687.txt,4,0
2689.txt,4,0
2690.txt,4,0
2692.txt,4,0
2693.txt,4,0
2694.txt,-1,0
2695.txt,4,0
2696.txt,-1,0
2699.txt,4,0
2700.txt,4,0
2703.txt,4,0
2704.txt,4,0
2708.txt,4,0
2709.txt,4,0
2712.txt,-2,0
2714.txt,-1,0
2715.txt,4,0
2717.txt,4,0
2718.txt,1,0
2721.txt,4,0
2722.txt,4,0
2725.txt,4,0
2727.txt,4,0
2730.txt,-2,0
2731.txt,-2,0
2734.txt,4,0
2739.txt,-2,0
2744.txt,4,0
2747.txt,4,0
2749.txt,4,0
2751.txt,-2,0
2752.txt,3,0
2754.txt,4,0
2756.txt,4,0
2759.txt,4,0
2760.txt,4,0
2764.txt,-2,0
2765.txt,4,0
2767.txt,4,0
2769.txt,4,0
2770.txt,4,0
2771.txt,4,0
2772.txt,-2,0
2773.txt,-2,0
2776.txt,-2,0
2779.txt,4,0
2780.txt,-2,0
2781.txt,3,0
2783.txt,4,0
2784.txt,4,0
2788.txt,4,0
2789.txt,4,0
2790.txt,2,0
2791.txt,-1,0
2792.txt,-2,0
2794.txt,4,0
2795.txt,-2,0
2798.txt,4,0
2800.txt,-2,0
2802.txt,1,0
2803.txt,4,0
2805.txt,-1,0
2807.txt,-2,0
2809.txt,4,0
2813.txt,3,0
2814.txt,4,0
2818.txt,4,0
2822.txt,4,0
2826.txt,1,0
2827.txt,4,0
2830.txt,4,0
2832.txt,4,0
2834.txt,4,0
2835.txt,-2,0
2839.txt,4,0
2841.txt,3,0
2847.txt,4,0
2850.txt,4,0
2853.txt,4,0
2854.txt,4,0
2859.txt,4,0
2860.txt,4,0
2861.txt,4,0
2863.txt,4,0
2864.txt,4,0
2865.txt,4,0
2867.txt,4,0
2868.txt,4,0
2869.txt,4,0
2872.txt,4,0
2875.txt,-2,0
2880.txt,4,0
2881.txt,4,0
2886.txt,4,0
2887.txt,-2,0
2889.txt,-2,0
2891.txt,4,0
2893.txt,4,0
2895.txt,4,0
2898.txt,4,0
2900.txt,4,0
2903.txt,-2,0
2904.txt,-2,0
2905.txt,-2,0
2908.txt,2,0
2914.txt,4,0
2915.txt,4,0
2916.txt,4,0
2917.txt,4,0
2918.txt,4,0
2925.txt,4,0
2926.txt,4,0
2927.txt,4,0
2931.txt,-2,0
2932.txt,-2,0
2933.txt,4,0
2934.txt,4,0
2935.txt,4,0
2936.txt,4,0
2937.txt,4,0
2938.txt,-2,0
2939.txt,-1,0
2943.txt,4,0
2944.txt,4,0
2945.txt,4,0
2947.txt,4,0
2949.txt,4,0
2950.txt,4,0
2951.txt,4,0
2953.txt,-2,0
2954.txt,4,0
2955.txt,-2,0
2957.txt,4,0
2959.txt,4,0
2964.txt,-1,0
2965.txt,-1,0
2966.txt,-2,0
2967.txt,-2,0
2968.txt,4,0
2970.txt,4,0
2974.txt,4,0
2975.txt,4,0
2978.txt,4,0
2979.txt,4,0
2980.txt,4,0
2981.txt,2,0
2983.txt,4,0
2985.txt,4,0
2989.txt,2,0
2990.txt,4,0
2991.txt,2,0
2992.txt,2,0
2994.txt,4,0
2995.txt,-2,0
2996.txt,-2,0
2997.txt,-1,0
3001.txt,4,0
3002.txt,-2,0
3006.txt,4,0
3008.txt,4,0
3009.txt,4,0
3010.txt,-1,0
3011.txt,-2,0
3013.txt,4,0
3017.txt,-1,0
3019.txt,4,0
3020.txt,4,0
3021.txt,4,0
3023.txt,4,0
3026.txt,4,0
3028.txt,4,0
3029.txt,4,0
3030.txt,-2,0
3031.txt,-2,0
3032.txt,-2,0
3033.txt,4,0
3037.txt,4,0
3038.txt,4,0
3039.txt,-2,0
3040.txt,-2,0
3043.txt,4,0
3045.txt,-1,0
3046.txt,4,0
3047.txt,-2,0
3049.txt,-2,0
3051.txt,4,0
3052.txt,4,0
3053.txt,-2,0
3055.txt,-2,0
3056.txt,4,0
3058.txt,4,0
3059.txt,-2,0
3061.txt,4,0
3063.txt,-2,0
3065.txt,-1,0
3068.txt,4,0
3069.txt,-2,0
3070.txt,4,0
3071.txt,-2,0
3073.txt,-2,0
3074.txt,4,0
3076.txt,4,0
3077.txt,4,0
3078.txt,4,0
3080.txt,4,0
3081.txt,-2,0
3082.txt,4,0
3083.txt,-1,0
3086.txt,4,0
3090.txt,4,0
3092.txt,4,0
3093.txt,4,0
3094.txt,2,0
3097.txt,3,0
3098.txt,1,0
3101.txt,-1,0
3102.txt,-2,0
3103.txt,4,0
3104.txt,4,0
3105.txt,4,0
3106.txt,4,0
3108.txt,-2,0
3109.txt,4,0
3114.txt,-2,0
3116.txt,4,0
3119.txt,4,0
3120.txt,4,0
3121.txt,4,0
3123.txt,4,0
3126.txt,-2,0
3127.txt,4,0
3128.txt,4,0
3130.txt,4,0
3131.txt,-2,0
3132.txt,4,0
3133.txt,4,0
3136.txt,-1,0
3137.txt,4,0
3141.txt,4,0
3142.txt,4,0
3143.txt,4,0
3144.txt,4,0
3146.txt,4,0
3148.txt,4,0
3152.txt,1,0
3153.txt,-2,0
3154.txt,4,0
3156.txt,4,0
3157.txt,4,0
3158.txt,4,0
3159.txt,2,0
3160.txt,-1,0
3162.txt,3,0
3170.txt,4,0
3171.txt,4,0
3173.txt,4,0
3174.txt,-1,0
3175.txt,-2,0
3177.txt,-2,0
3181.txt,4,0
3182.txt,4,0
3188.txt,4,0
3191.txt,-2,0
3192.txt,4,0
3195.txt,4,0
3197.txt,4,0
3198.txt,4,0
3199.txt,-2,0
3201.txt,-2,0
3202.txt,2,0
3203.txt,4,0
3204.txt,-2,0
3205.txt,4,0
3207.txt,4,0
3211.txt,-2,0
3212.txt,4,0
3215.txt,-2,0
3218.txt,-2,0
3219.txt,4,0
3223.txt,2,0
3224.txt,4,0
3225.txt,4,0
3227.txt,4,0
3228.txt,4,0
3229.txt,2,0
3230.txt,-1,0
3231.txt,2,0
3235.txt,-2,0
3237.txt,-2,0
3238.txt,4,0
3240.txt,-2,0
3241.txt,4,0
3242.txt,-1,0
3243.txt,-2,0
3247.txt,4,0
3250.txt,4,0
3251.txt,-2,0
3252.txt,4,0
3253.txt,2,0
3255.txt,4,0
3257.txt,1,0
3260.txt,2,0
3261.txt,4,0
3262.txt,4,0
3263.txt,4,0
3264.txt,4,0
3274.txt,4,0
3275.txt,-2,0
3277.txt,-2,0
3278.txt,4,0
3279.txt,-2,0
3281.txt,-2,0
3282.txt,-2,0
3283.txt,4,0
3284.txt,1,0
3285.txt,-1,0
3287.txt,4,0
3288.txt,-1,0
3292.txt,-2,0
3293.txt,-2,0
3296.txt,4,0
3297.txt,4,0
3299.txt,4,0
3301.txt,4,0
3302.txt,-2,0
3303.txt,4,0
3306.txt,4,0
3307.txt,4,0
3309.txt,4,0
3311.txt,4,0
3314.txt,4,0
3315.txt,4,0
3321.txt,4,0
3323.txt,4,0
3326.txt,-2,0
3329.txt,0,0
3330.txt,-2,0
3331.txt,-2,0
3332.txt,4,0
3337.txt,4,0
3340.txt,4,0
3341.txt,4,0
3344.txt,4,0
3348.txt,-2,0
3349.txt,4,0
3353.txt,4,0
3354.txt,4,0
3356.txt,-2,0
3358.txt,2,0
3360.txt,-2,0
3361.txt,4,0
3362.txt,-2,0
3365.txt,-2,0
3366.txt,4,0
3367.txt,4,0
3374.txt,4,0
3375.txt,4,0
3378.txt,-2,0
3380.txt,4,0
3383.txt,-2,0
3388.txt,4,0
3390.txt,4,0
3395.txt,-2,0
3396.txt,2,0
3398.txt,4,0
3400.txt,4,0
3402.txt,4,0
3404.txt,4,0
3405.txt,4,0
3408.txt,0,0
3413.txt,4,0
3418.txt,-1,0
3419.txt,4,0
3420.txt,4,0
3421.txt,4,0
3422.txt,-2,0
3423.txt,-2,0
3424.txt,4,0
3425.txt,2,0
3427.txt,4,0
3428.txt,4,0
3430.txt,-2,0
3431.txt,-2,0
3433.txt,-2,0
3434.txt,4,0
3435.txt,-1,0
3436.txt,4,0
3437.txt,4,0
3438.txt,4,0
3439.txt,-2,0
3440.txt,-2,0
3442.txt,2,0
3443.txt,-1,0
3446.txt,4,0
3447.txt,-2,0
3449.txt,4,0
3450.txt,-2,0
3452.txt,-2,0
3453.txt,-2,0
3454.txt,4,0
3457.txt,-1,0
3460.txt,-2,0
3462.txt,4,0
3463.txt,4,0
3467.txt,4,0
3468.txt,4,0
3470.txt,-1,0
3471.txt,4,0
3473.txt,4,0
3474.txt,-2,0
3476.txt,4,0
3477.txt,4,0
3478.txt,4,0
3479.txt,4,0
3482.txt,4,0
3485.txt,-2,0
3486.txt,4,0
3487.txt,4,0
3488.txt,-2,0
3489.txt,4,0
3490.txt,4,0
3493.txt,4,0
3495.txt,-1,0
3498.txt,-2,0
3502.txt,-1,0
3503.txt,4,0
3504.txt,4,0
3505.txt,4,0
3508.txt,4,0
3510.txt,4,0
3515.txt,-1,0
3516.txt,4,0
3518.txt,2,0
3522.txt,4,0
3525.txt,4,0
3526.txt,4,0
3527.txt,4,0
3529.txt,4,0
3531.txt,4,0
3536.txt,4,0
3542.txt,-2,0
3545.txt,-2,0
3547.txt,4,0
3548.txt,2,0
3555.txt,4,0
3560.txt,-2,0
3564.txt,1,0
3565.txt,-1,0
3569.txt,4,0
3571.txt,4,0
3572.txt,4,0
3574.txt,4,0
3575.txt,4,0
3577.txt,-1,0
3579.txt,4,0
3581.txt,4,0
3582.txt,4,0
3583.txt,4,0
3585.txt,4,0
3587.txt,4,0
3589.txt,4,0
3594.txt,-2,0
3595.txt,1,0
3596.txt,-2,0
3599.txt,4,0
3600.txt,4,0
3601.txt,-2,0
3604.txt,4,0
3607.txt,4,0
3608.txt,4,0
3609.txt,4,0
3611.txt,4,0
3614.txt,-1,0
3615.txt,4,0
3622.txt,4,0
3624.txt,4,0
3625.txt,4,0
3627.txt,-2,0
3628.txt,-2,0
3629.txt,-2,0
3632.txt,-2,0
3633.txt,-2,0
3634.txt,4,0
3636.txt,-1,0
3637.txt,-2,0
3638.txt,4,0
3640.txt,-2,0
3641.txt,4,0
3642.txt,4,0
3644.txt,4,0
3645.txt,4,0
3646.txt,-2,0
3647.txt,4,0
3648.txt,1,0
3649.txt,4,0
3651.txt,-1,0
3652.txt,4,0
3653.txt,2,0
3658.txt,4,0
3659.txt,-2,0
3661.txt,-1,0
3664.txt,4,0
3665.txt,4,0
3667.txt,-1,0
3670.txt,4,0
3672.txt,4,0
3673.txt,4,0
3676.txt,2,0
3677.txt,0,0
3678.txt,4,0
3680.txt,4,0
3681.txt,4,0
3688.txt,4,0
3692.txt,-2,0
3693.txt,4,0
3694.txt,4,0
3696.txt,4,0
3698.txt,4,0
3699.txt,4,0
3701.txt,4,0
3702.txt,4,0
3708.txt,4,0
3709.txt,-1,0
3714.txt,4,0
3715.txt,4,0
3716.txt,4,0
3717.txt,4,0
3718.txt,4,0
3719.txt,4,0
3720.txt,-2,0
3721.txt,4,0
3722.txt,4,0
3725.txt,4,0
3726.txt,4,0
3727.txt,4,0
3728.txt,-2,0
3729.txt,4,0
3732.txt,4,0
3733.txt,4,0
3734.txt,-2,0
3735.txt,2,0
3736.txt,-2,0
3739.txt,-2,0
3740.txt,-1,0
3742.txt,-2,0
3743.txt,-2,0
3745.txt,4,0
3747.txt,4,0
3749.txt,-2,0
3752.txt,4,0
3755.txt,4,0
3758.txt,2,0
3759.txt,-2,0
3763.txt,3,0
3764.txt,4,0
3766.txt,4,0
3767.txt,4,0
3770.txt,4,0
3771.txt,-1,0
3772.txt,2,0
3773.txt,-2,0
3774.txt,4,0
3777.txt,4,0
3778.txt,4,0
3780.txt,4,0
3783.txt,4,0
3785.txt,4,0
3786.txt,4,0
3788.txt,2,0
3789.txt,-1,0
3790.txt,4,0
3791.txt,-2,0
3793.txt,4,0
3796.txt,4,0
3797.txt,-1,0
3798.txt,4,0
3799.txt,-1,0
3800.txt,4,0
3802.txt,4,0
3808.txt,-2,0
3813.txt,4,0
3814.txt,4,0
3820.txt,4,0
3821.txt,4,0
3823.txt,-2,0
3825.txt,4,0
3829.txt,4,0
3831.txt,4,0
3837.txt,4,0
3916.txt,4,0
3919.txt,4,0
3923.txt,4,0
3930.txt,-2,0
3931.txt,-2,0
3933.txt,4,0
3937.txt,4,0
3964.txt,4,0
3966.txt,4,0
3968.txt,4,0
3969.txt,-2,0
3972.txt,4,0
3981.txt,4,0
3987.txt,1,0
3991.txt,4,0
3992.txt,4,0
3995.txt,4,0
3996.txt,4,0
3998.txt,-2,0
4010.txt,-2,0
4011.txt,4,0
4012.txt,4,0
4016.txt,4,0
4018.txt,4,0
4025.txt,4,0
4028.txt,4,0
4032.txt,4,0
4037.txt,-2,0
4038.txt,4,0
4042.txt,4,0
4043.txt,4,0
4049.txt,1,0
4052.txt,4,0
4055.txt,4,0
4056.txt,4,0
4057.txt,-1,0
4059.txt,4,0
4062.txt,4,0
4065.txt,-2,0
4066.txt,4,0
4068.txt,4,0
4071.txt,4,0
4074.txt,4,0
4075.txt,4,0
4081.txt,4,0
4087.txt,4,0
4103.txt,4,0
4115.txt,4,0
4118.txt,4,0
4121.txt,4,0
4122.txt,4,0
4126.txt,4,0
4127.txt,4,0
4129.txt,4,0
4130.txt,4,0
